GCM,var,scenario,from_year,to_year,annual
bccr_bcm2_0,tas,a2,2020,2039,5.153054786738352
bccr_bcm2_0,tas,b1,2020,2039,5.160215230357382
cccma_cgcm3_1,tas,a2,2020,2039,7.168759391196493
cccma_cgcm3_1,tas,b1,2020,2039,7.114584525625362
cnrm_cm3,tas,a2,2020,2039,7.176205984671703
cnrm_cm3,tas,b1,2020,2039,7.2619048996166375
csiro_mk3_5,tas,a2,2020,2039,11.526757599410647
csiro_mk3_5,tas,b1,2020,2039,11.294736486421268
gfdl_cm2_0,tas,a2,2020,2039,5.109727512274689
gfdl_cm2_0,tas,b1,2020,2039,4.987581096088226
gfdl_cm2_1,tas,a2,2020,2039,6.658757159836205
gfdl_cm2_1,tas,b1,2020,2039,6.657961571899663
ingv_echam4,tas,a2,2020,2039,9.863394340078294
inmcm3_0,tas,a2,2020,2039,8.094970474812891
inmcm3_0,tas,b1,2020,2039,8.029265824696113
ipsl_cm4,tas,a2,2020,2039,8.753307998923814
ipsl_cm4,tas,b1,2020,2039,8.678778593678587
miroc3_2_medres,tas,a2,2020,2039,8.922776904787279
miroc3_2_medres,tas,b1,2020,2039,9.001209591986152
miub_echo_g,tas,a2,2020,2039,6.907948177653937
miub_echo_g,tas,b1,2020,2039,7.264052165120672
mpi_echam5,tas,a2,2020,2039,7.598174668310773
mpi_echam5,tas,b1,2020,2039,7.4491580953626695
mri_cgcm2_3_2a,tas,a2,2020,2039,6.6269192588598145
mri_cgcm2_3_2a,tas,b1,2020,2039,6.636154060648576
ukmo_hadcm3,tas,a2,2020,2039,6.796433750827184
ukmo_hadcm3,tas,b1,2020,2039,6.856510609462799
ukmo_hadgem1,tas,a2,2020,2039,6.78279338275494
